Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
Spring Condos,1,1,FALSE,A,https://drive.google.com/file/d/11S1kX5x-JIyooL-GDF8qbyhsw17BWQoT/view?usp=drive_link,https://drive.google.com/uc?export=view&id=11S1kX5x-JIyooL-GDF8qbyhsw17BWQoT,565,"E, W, W","602-2302, 606-2306, 2404-3804",51,
Spring Condos,1,1,FALSE,B,https://drive.google.com/file/d/1nhYYYGY_Im4md9_A3Zx_YRkCbc97aX1V/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1nhYYYGY_Im4md9_A3Zx_YRkCbc97aX1V,704,S,604-2304,18,
Spring Condos,1,1,FALSE,B1,https://drive.google.com/file/d/1PELQDXrOBjNuqZxksaHRfJUUYM26Iva0/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1PELQDXrOBjNuqZxksaHRfJUUYM26Iva0,698,"N, N","608-2308, 2506-3806",33,
Spring Condos,2,2,FALSE,C,https://drive.google.com/file/d/1msDZ3CuQcD6o55fcauAGz0ks3AwQy3LA/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1msDZ3CuQcD6o55fcauAGz0ks3AwQy3LA,983,"SEc, NWc, NWc","603-2303, 607-2307, 2405-3805",51,
Spring Condos,2,2,FALSE,D,https://drive.google.com/file/d/1uO4dHdOfTUMqXmsIqxZwDREWo2XlQ7jo/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1uO4dHdOfTUMqXmsIqxZwDREWo2XlQ7jo,"1,038",NEc,601-2301,18,
Spring Condos,2,2,FALSE,D1,https://drive.google.com/file/d/1uO4dHdOfTUMqXmsIqxZwDREWo2XlQ7jo/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1uO4dHdOfTUMqXmsIqxZwDREWo2XlQ7jo,"1,061","SWc, SWc","605-2305, 2403-3803",33,
Spring Condos,3,3,FALSE,E,https://drive.google.com/file/d/1Smh8h1YQipYRebxYXZuNEHwRSBOTyUq0/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1Smh8h1YQipYRebxYXZuNEHwRSBOTyUq0,"1,631",NEc,"2401-3801, 3901-4101",18,
Spring Condos,3,3,FALSE,E1,https://drive.google.com/file/d/1MACJcaSYJUDZhDmKoQlo77GJfrOIoW1D/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1MACJcaSYJUDZhDmKoQlo77GJfrOIoW1D,"1,651",SWc,3903-4103,3,
Spring Condos,3,3,FALSE,F,https://drive.google.com/file/d/1_9FHMTeYcEMOM8ZiT-kTug50tXvvfUmI/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1_9FHMTeYcEMOM8ZiT-kTug50tXvvfUmI,"1,707",SEc,"2402-3802, 3902-4101",18,
Spring Condos,3,3,FALSE,F1,https://drive.google.com/file/d/16EXZgXMNbzz6D2Jsq-QQvisXMTy-fxLu/view?usp=drive_link,https://drive.google.com/uc?export=view&id=16EXZgXMNbzz6D2Jsq-QQvisXMTy-fxLu,"1,704",NWc,3904-4104,3,
Spring Condos,3,3,FALSE,PH-1,,#N/A,"4,397",NSWc,4201,1,
Spring Condos,3,4,FALSE,PH-2,,#N/A,"3,593",NSEc,"4,202",1,
