source,buildingSlug,buildingName,unitNumber,status,closeDate,listingContractDate,closePrice,listPrice,originalListPrice,closePricePerSqft,listPricePerSqft,sqft,bedrooms,bathrooms,daysOnMarket,cumulativeDaysOnMarket,floorPlan,orientation,floorPlanSqft,floorPlanBeds,floorPlanBaths,floorPlanHasStudy,hoaFee,hoaFeeFrequency,yearBuilt,parkingFeatures,buyerFinancing,listAgentFullName,listOfficeName,buyerAgentFullName,buyerOfficeName,cpLp,cpOlp,previousListPrice,listingId,address,mlsArea
mls-csv-import,1306-west,1306 West,303,Closed,2025-06-12,2025-05-13,2200,2200,2200,3.01,3.01,731,1,1,28,28,,,,,,,,,2017,"Covered, Gated, Reserved",,Salma Manzur,Twelve Rivers Realty,Salma Manzur,Twelve Rivers Realty,1.0000,1.0000,,1266653,1306  West Ave  #303,DT
mls-csv-import,1306-west,1306 West,303,Withdrawn,,2025-03-06,,425000,425000,,581.4,731,1,1,74,74,,,,,,,328,Monthly,2017,"Covered, Gated, Reserved",,Salma Manzur,Twelve Rivers Realty,,,,,,9420429,1306  West Ave  #303,DT
mls-csv-import,1306-west,1306 West,302,Closed,2025-01-17,2024-12-06,3500,3500,3500,3.1,3.1,1129,2,2,32,32,,,,,,,,,2017,"Assigned, Covered, Guest",,Libby Leahy,"Compass RE Texas, LLC",Laurie Eden,KW-Austin Portfolio Real Estate,1.0000,1.0000,,1664946,1306  West Ave  #302,DT
mls-csv-import,1306-west,1306 West,201,Closed,2024-07-10,2024-04-10,425000,435000,495000,569.71,583.11,746,1,1,62,62,,,,,,,220,Monthly,2017,"Assigned, Garage, Garage Door Opener, Garage Faces Front, Gated, Reserved",Conventional,Ron Redder,"Presidio Group, REALTORS",Jeff Harris,True Austin Properties,0.9770,0.8586,450000,9321089,1306  West Ave  #201,DT
mls-csv-import,1306-west,1306 West,201,Expired,,2024-01-18,,2250,2765,,3.02,746,1,1,135,135,,,,,,,,,2017,"Assigned, Garage, Garage Door Opener, Garage Faces Front, Gated, Reserved",,Dulce Perez,"Presidio Group, REALTORS",,,,,2395,4424389,1306  West Ave  #201,DT
mls-csv-import,1306-west,1306 West,201,Closed,2023-08-18,2023-07-07,2765,2765,2765,3.71,3.71,746,1,1,39,38,,,,,,,,,2017,"Assigned, Garage, Garage Faces Front, Reserved",,Keith McKeachie,"Presidio Group, REALTORS",Greg Rives,"Presidio Group, REALTORS",1.0000,1.0000,,9520143,1306  West Ave  #201,DT
mls-csv-import,1306-west,1306 West,302,Closed,2022-12-31,2022-11-01,3500,3500,3500,3.1,3.1,1129,2,2,60,27,,,,,,,,,2017,"Assigned, Covered, Guest",,Libby Leahy,"Compass RE Texas, LLC",Laurie Eden,KW-Austin Portfolio RealEstate,1.0000,1.0000,,5321930,1306  West Ave  #302,DT
mls-csv-import,1306-west,1306 West,303,Withdrawn,,2022-08-30,,2395,2750,,3.28,731,1,1,77,77,,,,,,,,,2017,"Covered, Gated, Reserved",,Forest Kimbrell,1836 Realty & Property Mgmt,,,,,2495,2248692,1306  West Ave  #303,DT
mls-csv-import,1306-west,1306 West,206,Closed,2021-11-18,2021-10-06,520000,569500,569500,697.05,763.4,746,1,1,15,13,,,,,,,219,Monthly,2017,Reserved,Cash,Brenda Gavin,"Compass RE Texas, LLC",Stacy Caprio,Austin Home Seekers,0.9131,0.9131,,3419811,1306  West Ave  #206,DT
mls-csv-import,1306-west,1306 West,305,Closed,2021-07-01,2021-06-03,701500,650000,650000,621.35,575.73,1129,2,2,3,3,,,,,,,309.16,Monthly,2017,"Assigned, Covered, Gated",Cash,Beth Carter,"Compass RE Texas, LLC",Kim Wilkin,Realty Austin,1.0792,1.0792,,4811135,1306  West Ave  #305,DT
mls-csv-import,1306-west,1306 West,207,Withdrawn,,2020-06-15,,2450,2550,,3.35,731,1,1,17,17,,,,,,,,,2017,Reserved,,Lucas Burton,"Renters Warehouse Texas, LLC",,,,,2500,1756905,1306  West Ave  #207,DT
mls-csv-import,1306-west,1306 West,101,Withdrawn,,2020-05-15,,450000,484300,,595.24,756,1,1,107,107,,,,,,,199,Monthly,2017,"Garage, Reserved",,Dolise McClure,Starstate Realty,,,,,459900,8797360,1306  West Ave  #101,DT
mls-csv-import,1306-west,1306 West,302,Closed,2020-02-03,2019-12-10,620000,639000,639000,549.16,565.99,1129,2,2,24,24,,,,,,,281,Monthly,2017,"Assigned, Reserved",Conventional,Lizz Grimes,KW-Austin Portfolio RealEstate,Rita Little,Realty Austin,0.9703,0.9703,,4705131,1306  West Ave  #302,DT
mls-csv-import,1306-west,1306 West,204,Closed,2019-11-26,2019-04-16,470000,485000,495000,630.87,651.01,745,1,1,136,136,,,,,,,199,Monthly,2017,"Assigned, Reserved",Cash,Brenda Gavin,"Compass RE Texas, LLC",Kinan Beck,eXp Realty LLC,0.9691,0.9495,495000,5158671,1306  West Ave  #204,DT
mls-csv-import,1306-west,1306 West,203,Expired,,2019-11-19,,2650,2995,,3.56,745,1,1,408,408,,,,,,,,,2017,"Assigned, Reserved",,Dolise McClure,Starstate Realty,,,,,2895,5913816,1306  West Ave  #203,DT
mls-csv-import,1306-west,1306 West,203,Closed,2019-11-15,2019-09-08,465000,475000,475000,624.16,637.58,745,1,1,15,15,,,,,,,199,Monthly,2017,"Assigned, Reserved",Conventional,Brenda Gavin,"Compass RE Texas, LLC",Dolise McClure,Starstate Realty,0.9789,0.9789,,9568350,1306  West Ave  #203,DT
mls-csv-import,1306-west,1306 West,101,Closed,2019-08-02,2019-05-31,2695,2695,2995,3.56,3.56,756,1,1,53,53,,,,,,,,,2017,"Garage, Reserved",,Dolise McClure,Starstate Realty,Dolise McClure,Starstate Realty,1.0000,0.8998,2395,9825635,1306  West Ave  #101,DT
mls-csv-import,1306-west,1306 West,201,Closed,2019-05-31,2019-04-12,2495,2495,2595,3.34,3.34,746,1,1,49,49,Rio Grande,,,,,,,,2017,"Assigned, Reserved",,Keith McKeachie,"Presidio Group, REALTORS",Susan Griffith,Kuper Sotheby's Itl Rlty,1.0000,0.9615,2595,2430883,1306  West Ave  #201,DT
mls-csv-import,1306-west,1306 West,101,Closed,2018-11-08,2018-10-05,2245,2295,2495,2.97,3.04,756,1,1,33,208,,,,,,,,,2017,"Garage, Reserved",,Dolise McClure,Starstate Realty,Matthew McClure,Starstate Realty,0.9782,0.8998,2395,6836170,1306  West Ave  #101,DT
mls-csv-import,1306-west,1306 West,203,Closed,2018-09-07,2018-01-11,420000,420000,415000,563,563,746,1,1,139,139,,,,,,,199,Monthly,2017,Reserved,Conventional,Autumn Lapaglia,Legacy Austin Realty,Brenda Gavin,Platinum Realty Austin,1.0000,1.0120,440000,8065942,1306  West Ave  #203,DT
mls-csv-import,1306-west,1306 West,206,Closed,2018-08-17,2018-01-11,433500,440000,415000,581.1,589.81,746,1,1,188,319,,,,,,,199,Monthly,2017,Reserved,Conventional,Autumn Lapaglia,Legacy Austin Realty,Brenda Gavin,Platinum Realty Austin,0.9852,1.0446,415000,2029817,1306  West Ave  #206,DT
mls-csv-import,1306-west,1306 West,204,Closed,2018-08-17,2018-01-11,430000,440000,415000,577.18,590.6,745,1,1,188,188,,,,,,,199,Monthly,2017,Reserved,Conventional,Autumn Lapaglia,Legacy Austin Realty,Brenda Gavin,Platinum Realty Austin,0.9773,1.0361,415000,7100093,1306  West Ave  #204,DT
mls-csv-import,1306-west,1306 West,207,Closed,2018-08-17,2018-01-11,383100,389990,415000,524.08,533.5,731,1,1,176,176,,,,,,,199,Monthly,2017,Reserved,Conventional,Autumn Lapaglia,Legacy Austin Realty,Ian Stirling,Redfin Corporation,0.9823,0.9231,399990,9912540,1306  West Ave  #207,DT
mls-csv-import,1306-west,1306 West,303,Closed,2018-07-31,2018-01-12,405000,430000,430000,554.04,588.24,731,1,1,181,181,,,,,,,199,Monthly,2017,Reserved,Conventional,Autumn Lapaglia,Legacy Austin Realty,Donah Matza,BHGRE Bradfield Properties,0.9419,0.9419,,1279865,1306  West Ave  #303,DT
mls-csv-import,1306-west,1306 West,202,Closed,2018-07-25,2018-01-11,385000,409999,415000,516.78,550.33,745,1,1,182,182,,,,,,,199,Monthly,2017,Reserved,Cash,Autumn Lapaglia,Legacy Austin Realty,Non Member,Non Member,0.9390,0.9277,415000,1953656,1306  West Ave  #202,DT
mls-csv-import,1306-west,1306 West,201,Closed,2018-03-28,2018-01-06,432000,442010,442010,579.09,592.51,746,1,1,44,175,,,,,,,199,Monthly,2017,"Assigned, Reserved",Cash,Autumn Lapaglia,Legacy Austin Realty,Cory Laurel,Strub Residential,0.9774,0.9774,,3193955,1306  West Ave  #201,DT
